WKT,C_COMP_MER,INDIRIZZ,CARRAIO,FRONTE,INSEGNA,ANNO_INI,MESE_INI,TIPO_MER,DESC_RIP,DETT_RIP,CAT_MER,PREVALEN,TIPO_LOC,MQ_TOT_L,MQ_TOT_V,TIPO_ADD,NOME_ADD,SEZCENS,ZONASTAT,NCIRCO,SEZ_ELET,CAP
"POINT (1396322.217 4990301.69)",CF,VIA CLAUDIO LUIGI BERTHOLLET 24,Si,No,,1977,1,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Extralimentari,S,39564,45,.,,NEGOZIO,343,09,8,728,10125
"POINT (1396322.217 4990301.69)",CF,VIA CLAUDIO LUIGI BERTHOLLET 24,Si,No,,1985,6,ALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Panificio,S,5644,47,.,N,NEGOZIO,343,09,8,728,10125
"POINT (1396303.762 4990325.001)",EP,VIA CLAUDIO LUIGI BERTHOLLET 25/F,No,No,,2017,9,ALTRO,DIA di somministrazione,nei circoli,Nessuna,,139327,69,,,,336,09,8,0,10125
"POINT (1396434.395 4990540.6)",EP,CORSO VITTORIO EMANUELE II 21/A,No,No,,2013,10,ALTRO,DIA di somministrazione,effettuata congiuntamente ad attivita di trattenimento e svago,Nessuna,,126771,100,,,,322,09,8,0,10125
"POINT (1396434.395 4990540.6)",EP,CORSO VITTORIO EMANUELE II 21/A,No,No,,2009,2,ALTRO,DIA di somministrazione,effettuata congiuntamente ad attivita di trattenimento e svago,Nessuna,,107339,130,,N,,322,09,8,0,10125
"POINT (1396346.317 4990465.903)",EP,VIA PRINCIPE TOMMASO 3/G,No,No,,2012,11,ALTRO,Somministrazione,U,Nessuna,,123560,60,,,,329,09,8,0,10125
"POINT (1396323.163 4990446.922)",EP,VIA PRINCIPE TOMMASO 6/E,No,No,,2016,4,.,Somministrazione,B,Nessuna,,57574,50,,N,,328,09,8,0,10125
"POINT (1396326.293 4990453.035)",EP,VIA PRINCIPE TOMMASO 6,No,No,,1998,5,ALTRO,DIA di somministrazione,Somministrazioni generiche soggette a DIA,Nessuna,,48929,1,,,,328,09,8,726,10125
"POINT (1396009.149 4990467.107)",CF,VIA CLAUDIO LUIGI BERTHOLLET 2/G,No,No,,2017,3,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Gastronomia,S,138063,50,31,,NEGOZIO,339,09,8,0,10125
"POINT (1396357.532 4990581.082)",CF,CORSO VITTORIO EMANUELE II 25/G,No,No,,2017,4,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Mobili,S,138184,362,27,,NEGOZIO,321,09,8,0,10125
"POINT (1396304.914 4990384.561)",AE,VIA PRINCIPE TOMMASO 9,Si,No,,2017,5,.,Acconciatori/estetisti,Acconciatori,Nessuna,,132629,26,.,,,336,09,8,728,10125
"POINT (1396009.149 4990467.107)",CF,VIA CLAUDIO LUIGI BERTHOLLET 2/G,No,No,,2017,3,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Extralimentari,N,138063,50,31,,NEGOZIO,339,09,8,0,10125
"POINT (1396357.532 4990581.082)",CF,CORSO VITTORIO EMANUELE II 25/G,No,No,,2007,2,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Mobili,S,99152,300,15,N,NEGOZIO,321,09,8,0,10125
"POINT (1396299.102 4990373.548)",EP,VIA PRINCIPE TOMMASO 11/B,No,No,,2013,4,.,Somministrazione,U,Nessuna,,120102,52,,,,336,09,8,0,10125
"POINT (1396038.558 4990465.054)",EP,VIA CLAUDIO LUIGI BERTHOLLET 3/G,No,No,,2015,8,.,Somministrazione,A,Nessuna,,57318,120,,N,,332,09,8,0,10125
"POINT (1396368.751 4990575.145)",CF,CORSO VITTORIO EMANUELE II 25,Si,No,,1989,7,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Extralimentari,S,37327,80,.,,NEGOZIO,321,09,8,727,10125
"POINT (1396022.809 4990459.897)",CF,VIA CLAUDIO LUIGI BERTHOLLET 4/C,No,No,,2018,1,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Mista,S,140005,20,20,,NEGOZIO,339,09,8,0,10125
"POINT (1396022.809 4990459.897)",CF,VIA CLAUDIO LUIGI BERTHOLLET 4/C,No,No,,2016,5,ALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Alimentari,S,135600,45,45,,NEGOZIO,339,09,8,0,10125
"POINT (1396342.72 4990588.919)",CF,CORSO VITTORIO EMANUELE II 27/C,No,No,,1986,11,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Extralimentari,S,21473,50,.,,NEGOZIO,321,09,8,0,10125
"POINT (1396022.809 4990459.897)",CF,VIA CLAUDIO LUIGI BERTHOLLET 4/C,No,No,,2014,3,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Telefonia,S,128754,45,45,,,339,09,8,0,10125
"POINT (1396019.579 4990461.602)",EP,VIA CLAUDIO LUIGI BERTHOLLET 4,No,No,,2002,11,ALTRO,Somministrazione,A,Nessuna,,54418,52,,,,339,09,8,725,10125
"POINT (1396124.141 4990471.098)",CF,VIA GOITO 15,Si,No,,2004,7,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Extralimentari,S,14581,.,100,N,NEGOZIO,334,09,8,724,10125
"POINT (1396019.579 4990461.602)",CF,VIA CLAUDIO LUIGI BERTHOLLET 4,No,No,,2017,3,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Alimentari,S,137902,63,60,,NEGOZIO,339,09,8,725,10125
"POINT (1396278.575 4990546.133)",CF,PIAZZETTA LEVI PRIMO 9/B,No,No,,2001,10,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Erboristeria,S,14809,89,.,N,NEGOZIO,321,09,8,0,10125
"POINT (1396005.771 4990345.631)",CF,VIA SALUZZO 32,Si,No,,2017,3,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Alimentari,S,137925,48,48,,NEGOZIO,339,09,8,725,10125
"POINT (1396019.579 4990461.602)",CF,VIA CLAUDIO LUIGI BERTHOLLET 4,No,No,,2017,3,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Extralimentari,N,137902,63,60,,NEGOZIO,339,09,8,725,10125
"POINT (1396101.022 4990451.084)",CF,VIA GOITO 16,Si,No,,2016,5,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Opere d'arte,S,135655,120,96,,NEGOZIO,333,09,8,724,10125
"POINT (1396278.575 4990546.133)",CF,PIAZZETTA LEVI PRIMO 9/B,No,No,,2001,10,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Extralimentari,N,14809,89,.,N,NEGOZIO,321,09,8,0,10125
"POINT (1396005.771 4990345.631)",CF,VIA SALUZZO 32,Si,No,,2017,3,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Extralimentari,N,137925,48,48,,NEGOZIO,339,09,8,725,10125
"POINT (1396062.346 4990439.016)",CF,VIA CLAUDIO LUIGI BERTHOLLET 4 bis/F,No,No,,2016,12,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Audiovisivi,S,135753,64,23,,NEGOZIO,340,09,8,0,10125
"POINT (1396101.022 4990451.084)",CF,VIA GOITO 16,Si,No,,2016,5,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Vendita al dettaglio di cose antiche ed usate,N,135655,120,96,,NEGOZIO,333,09,8,724,10125
