Categoria criminologa,Sottocategoria Criminologica,Circoscrizione,Localita,Area Verde,Data,Ora
Allarme Sociale,Altro,6,BELMONTE/(VIA)                                                        ,,01/02/2018,
Allarme Sociale,Altro,6,DONATORE DI SANGUE/(PIAZZA DEL)                                       ,,12/02/2018,
Allarme Sociale,Altro,4,CIBRARIO/LUIGI (VIA)                                                  ,,26/02/2018,
Allarme Sociale,Altro,1,ROMA/(VIA)                                                            ,,02/03/2018,
Allarme Sociale,Altro,4,ZUMAGLIA/(VIA)                                                        ,,05/03/2018,
Allarme Sociale,Altro,6,GERMAGNANO/(VIA)                                                      ,,09/03/2018,
Allarme Sociale,Altro,1,RE UMBERTO/(CORSO)                                                    ,,12/03/2018,
Allarme Sociale,Altro,6,SETTIMO/(STRADA DI)                                                   ,Area Verde,14/03/2018,
Allarme Sociale,Altro,,,Area Verde,16/03/2018,
Allarme Sociale,Altro,9,SPAZZAPAN/LUIGI (VIA)                                                 ,,19/03/2018,
Allarme Sociale,Altro,5,OLIVETTI/ARRIGO (VIA)                                                 ,,21/03/2018,
Allarme Sociale,Altro,1,VITTORIO EMANUELE II/(CORSO)                                          ,,18/05/2018,
Allarme Sociale,Altro,9,VENTIMIGLIA/(VIA)                                                     ,,28/05/2018,
Allarme Sociale,Altro,1,ROMA/(VIA)                                                            ,,29/05/2018,
Allarme Sociale,Atti di vandalismo,7,SIENA/(LUNGO DORA)                                                    ,,11/01/2018,11.10
Allarme Sociale,Atti di vandalismo,6,GERMAGNANO/(VIA)                                                      ,,19/01/2018,
Convivenza Civile,Altro,1,BOTERO/GIOVANNI (VIA)                                                 ,,02/01/2018,
Convivenza Civile,Altro,1,SOLFERINO/(PIAZZA)                                                    ,,02/01/2018,
Convivenza Civile,Altro,5,ORVIETO/(VIA)                                                         ,,02/01/2018,
Convivenza Civile,Altro,5,VILLARI/PASQUALE (PIAZZA)                                             ,,02/01/2018,
Convivenza Civile,Altro,7,S. GIULIA/(PIAZZA)                                                    ,,02/01/2018,
Convivenza Civile,Altro,8,NIZZA/(VIA)                                                           ,,02/01/2018,
Convivenza Civile,Altro,1,S. MARTINO/(CORSO)                                                    ,,03/01/2018,
Convivenza Civile,Altro,4,PACINOTTI/ANTONIO (VIA)                                               ,,03/01/2018,
